var_0;var_1;var_2;var_3;var_4;var_5;var_6;err_ds_0;err_ds_1;err_ds_2;err_ds_3;err_ds_4;err_ds_5;err_ds_6;err_ds_7;err_ds_8;err_ds_9;err_ds_10;err_ds_11;err_ds_12;err_ds_13;err_ds_14;err_ds_15;err_ds_16;err_ds_17;err_ds_18;err_ds_19;err_ds_20;err_ds_21;err_ds_22;err_ds_23;err_ds_24;err_ds_25;err_ds_26;err_ds_27;err_ds_28;err_ds_29;err_mean;err_std
33;29;20;43;13;39;4;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
35;43;38;52;21;23;4;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
39;33;50;29;22;8;50;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
33;45;9;43;18;46;47;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
27;20;15;12;16;23;34;0.011118626203235315;1000.0;1000.0;0.0030418590991249214;0.005743486252477691;0.0033963308146010896;0.01938869131359543;0.09880145034103466;0.07841796963604696;0.2115854484160442;0.10337691356896744;0.021393020847622592;0.002884035685455252;0.02052815518229718;1000.0;0.0003252896131612222;0.20506526471765082;0.00626315567062376;1000.0;0.036088814011277996;0.0015850293493483002;0.012816266698654818;0.0032789127941345525;0.035544748073926144;19.53097020728792;1000.0;0.0007335448444779638;0.03528799634206804;0.001367497036345323;0.058006207555764654;167.35023363071184;372.3886213873637
45;28;13;41;42;45;46;0.12317637513250256;1000.0;1000.0;0.046367668586749324;0.8052581830075307;0.16765971050705047;1000.0;1000.0;0.07615931276216607;1.265791803814934;0.5946994915858729;1.102098884569426;0.048932237090989865;0.06054163173234608;118.79301919863296;0.013609451284405829;1000.0;0.3404853976087692;1000.0;6.433811568306613;0.007828163762626994;0.03252320491965479;0.023459078129316496;1000.0;1000.0;1000.0;0.03144773327899188;0.07622266046909669;0.034554222515035996;4.218178624223696;304.47652748673073;455.8141542591693
12;44;27;9;3;11;51;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;46.259521461279945;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.28451147240829333;124.99749630318088;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;13.349454166604863;1000.0;1000.0;1000.0;872.8296994467825;324.7045877506916
23;5;37;8;46;49;44;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
10;41;27;31;32;5;40;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
51;24;19;3;47;13;3;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
21;29;40;28;29;33;47;1.7941125665580227e-06;4.5965399169438e-05;2.002182183758558e-05;4.546803107464169e-07;3.0945184017694906e-07;4.1543886462631995e-06;1.9563044390244614e-06;8.571162851596865e-07;1.4908497985729418e-06;1.9676676813532e-05;1.3842900918841311e-05;7.985158593927389e-05;1.1001028112255803e-06;3.101692944038459e-06;0.0011144581281890824;1.872278158171495e-07;1.1303739280243097e-06;7.287063915887505e-06;1.4413364887785584e-05;2.930042585343571e-05;1.2941226838691384e-07;1.664108664493945e-05;7.68207072073074e-07;1.7819141827758212e-06;3.960017841059703e-05;0.019525445510875233;6.870677601611577e-06;3.6986530224437448e-06;1.6411676149959898e-07;1.906779661462915e-06;0.0006986120068470499;0.0035016939638762884
38;45;23;41;28;9;16;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
50;10;11;24;37;6;52;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
37;6;22;5;46;48;8;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
34;10;26;19;23;6;41;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
28;8;4;25;9;28;28;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
32;6;11;42;50;6;28;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
3;9;33;31;18;18;35;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
26;32;42;39;15;10;4;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
30;9;8;45;45;41;48;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
4;37;42;26;29;44;34;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
14;22;9;31;13;9;6;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
32;5;32;43;33;48;52;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
